Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date
BRONX,11T,150,6/20/2018
BRONX,12T,50,6/20/2018
BRONX,13T,165,6/20/2018
BRONX,14T,140,6/20/2018
BRONX,15T,415,6/20/2018
BRONX,16T,475,6/20/2018
BRONX,10AD,,
BRONX,3U,,
BRONX,6V,,
BRONX,8W,,
BRONX,10X,160,6/20/2018
BRONX,11X,,
BRONX,12X,,
BRONX,13X,,
BRONX,14X,,
BRONX,15X,,
BRONX,16X,,
BRONX,10Y,,
BRONX,11Y,,
BRONX,12Y,,
BRONX,13Y,,
BRONX,14Y,,
BRONX,15Y,,
BRONX,16Y,,
BRONX,11M,10,6/20/2018
BRONX,12M,440,6/20/2018
BRONX,13M,410,6/20/2018
BRONX,14M,,
BRONX,15M,80,6/20/2018
BRONX,16M,145,6/20/2018
BRONX,17M,95,6/20/2018
BRONX,14N,200,6/20/2018
BRONX,15N,195,6/20/2018
BRONX,16N,295,6/20/2018
BRONX,17N,80,6/20/2018
BRONX,11W,290,6/20/2018
BRONX,12W,160,6/20/2018
BRONX,13W,40,6/20/2018
BRONX,14W,,
BRONX,15W,,
BRONX,16W,,
BRONX,9Q,45,6/20/2018
BRONX,7R,,
BRONX,8R,,
BRONX,9R,100,6/20/2018
BRONX,4S,,
BRONX,5S,,
BRONX,6S,,
BRONX,7S,,
BRONX,8S,,
BRONX,9S,40,6/20/2018
BRONX,4T,,
BRONX,5T,,
BRONX,6T,,
BRONX,10Z,90,6/20/2018
BRONX,11Z,,
BRONX,12Z,,
BRONX,13Z,,
BRONX,14Z,,
BRONX,15Z,,
BRONX,6AA,,
BRONX,7AA,,
BRONX,8AC,,
BRONX,9AC,,
BRONX,6AD,,
BRONX,7AD,,
BRONX,8AD,,
BRONX,9AD,,
BRONX,5AE,,
BRONX,6AE,,
BRONX,7AE,,
BRONX,8AE,,
BRONX,9AE,,
BRONX,7AF,,
BRONX,14AB,,
BRONX,15AB,,
BRONX,16AB,,
BRONX,10AC,25,6/20/2018
BRONX,11AC,,
BRONX,12AC,,
BRONX,13AC,,
BRONX,14AC,,
BRONX,15AC,,
BRONX,16AC,,
BRONX,11AD,,
BRONX,12AD,,
BRONX,10AE,,
BRONX,11AE,,
BRONX,17P,140,6/20/2018
BRONX,10W,,
BRONX,5I,75,6/20/2018
BRONX,4I,,
