ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Long,Lat,Zip
348,BRONX,21Q,125,6/20/2018,21,Q,40.8469321,73.86688211,10462
368,BRONX,22R,125,6/20/2018,22,R,40.84940526,73.86286129,10462
312,BRONX,19S,140,6/20/2018,19,S,40.84260877,73.85827067,10462
420,BRONX,25R,145,6/20/2018,25,R,40.85635749,73.86328865,10462
234,BRONX,15U,155,6/20/2018,15,U,40.83365062,73.84937433,10462
330,BRONX,20Q,155,6/20/2018,20,Q,40.84461469,73.86673965,10462
276,BRONX,17U,160,6/20/2018,17,U,40.83828544,73.84965923,10462
403,BRONX,24R,190,6/20/2018,24,R,40.85404008,73.8631462,10462
419,BRONX,25Q,200,6/20/2018,25,Q,40.85620175,73.86745192,10462
274,BRONX,17S,210,6/20/2018,17,S,40.83797395,73.85798576,10462
311,BRONX,19R,240,6/20/2018,19,R,40.84245302,73.86243394,10462
313,BRONX,19T,240,6/20/2018,19,T,40.84276452,73.8541074,10462
386,BRONX,23R,260,6/20/2018,23,R,40.85172267,73.86300375,10462
331,BRONX,20R,265,6/20/2018,20,R,40.84477043,73.86257639,10462
212,BRONX,14U,270,6/20/2018,14,U,40.8313332,73.84923187,10462
256,BRONX,16U,281,6/20/2018,16,U,40.83596803,73.84951678,10462
291,BRONX,18R,310,6/20/2018,18,R,40.84013561,73.86229148,10462
385,BRONX,23Q,325,6/20/2018,23,Q,40.85156692,73.86716701,10462
253,BRONX,16R,380,6/20/2018,16,R,40.83550078,73.86200658,10462
254,BRONX,16S,400,6/20/2018,16,S,40.83565653,73.85784331,10462
275,BRONX,17T,400,6/20/2018,17,T,40.83812969,73.8538225,10462
310,BRONX,19O,410,6/20/2018,19,O,40.84198578,73.87492373,10462
233,BRONX,15T,415,6/20/2018,15,T,40.83349487,73.85353759,10462
402,BRONX,24Q,425,6/20/2018,24,Q,40.85388433,73.86730947,10462
232,BRONX,15S,435,6/20/2018,15,S,40.83333912,73.85770086,10462
255,BRONX,16T,475,6/20/2018,16,T,40.83581228,73.85368004,10462
273,BRONX,17R,510,6/20/2018,17,R,40.8378182,73.86214903,10462
292,BRONX,18S,520,6/20/2018,18,S,40.84029136,73.85812822,10462
231,BRONX,15R,535,6/20/2018,15,R,40.83318337,73.86186412,10462
293,BRONX,18T,645,6/20/2018,18,T,40.84044711,73.85396495,10462
470,BRONX,30G,35,6/20/2018,30,G,40.86623133,73.90979684,10463
565,BRONX,37L,40,6/20/2018,37,L,40.88323195,73.88997768,10463
534,BRONX,35F,50,6/20/2018,35,F,40.87766264,73.91467237,10463
